epoch,train_loss,eval_loss,eval_top1,eval_top5
0,1.785941751599312,1.7817242684364318,27.65,83.25
1,1.6158593946695328,1.5768614387512208,25.0,100.0
2,1.4455787968635558,1.3130432722568512,36.25,100.0
3,1.2504597651958465,1.3165575306415558,37.45,100.0
4,1.139153030216694,0.8222421891093254,62.85,100.0
5,0.9552886228263379,0.6828118599392474,65.65,100.0
6,0.7851146444678306,0.5089032051973045,72.1,100.0
7,0.7610803845524788,0.4028555368741509,79.6,100.0
8,0.6931992009282112,0.400197029217612,82.8,100.0
9,0.6396005976200104,0.3779946363481431,83.0,100.0
10,0.6087644153833389,0.3600728558631963,85.2,100.0
11,0.5686740654706955,0.33966958354413507,84.85,100.0
12,0.5502427719160914,0.29300078855338507,87.2,100.0
13,0.519004022218287,0.2989211404248781,87.65,100.0
14,0.5529850825294852,0.257878404898569,89.25,100.0
15,0.4990617337077856,0.23581640198580864,90.5,100.0
16,0.48562713330611584,0.3218574224722106,84.25,100.0
17,0.5048386173322796,0.22649006444952102,90.85,100.0
18,0.5121823216602206,0.19201620485121385,93.55,100.0
19,0.43879052778705957,0.23042118235945236,90.45,100.0
20,0.49205250492319463,0.20946795697964263,92.2,100.0
21,0.4963577278703451,0.2028785673051898,92.8,100.0
22,0.4488488423079252,0.24924203956406563,89.25,100.0
23,0.49550956033170224,0.2062013132519205,92.25,100.0
24,0.44433325733058154,0.21491436938603875,91.45,100.0
25,0.46386009324342015,0.3702527631549237,86.45,100.0
26,0.4318519827537239,0.19089577604936495,92.6,100.0
27,0.42188429754693063,0.15489044899523377,94.1,100.0
28,0.44334477731958033,0.1863666218224971,94.5,100.0
29,0.4356476465985179,0.16071953137306264,94.1,100.0
30,0.40602104675024747,0.15872155477416164,94.15,100.0
31,0.4137313900887966,0.16139715130566037,94.1,100.0
32,0.42094805613160136,0.16259237150265834,94.05,100.0
33,0.4211306492518634,0.1553642175014029,94.55,100.0
34,0.424957509431988,0.14994297983660362,94.35,100.0
35,0.4046367529314011,0.253057140919158,89.5,100.0
36,0.3992556772287935,0.21568998128117528,90.0,100.0
37,0.40136138996109366,0.1439548028952413,95.15,100.0
38,0.43701677057892085,0.1459082990198076,94.45,100.0
39,0.41618335276842117,0.22944329861531151,89.2,100.0
40,0.35595390723552556,0.13343813720345496,94.35,100.0
41,0.40101170405745507,0.18844225130602718,92.8,100.0
42,0.40455685287714005,0.1469543244751403,93.95,100.0
43,0.38914879931136964,0.1535681592253386,93.55,100.0
44,0.388337177047506,0.14197416492572665,94.3,100.0
45,0.39142272917553783,0.14127379875397308,93.75,100.0
46,0.368860788885504,0.31162881911006846,88.25,100.0
47,0.36268982257694005,0.1293416235866607,94.75,100.0
48,0.3863246846757829,0.15654983822343638,93.65,100.0
49,0.3588588140299544,0.14318884338741192,94.55,100.0
50,0.34595523750875146,0.30959048506099496,87.65,100.0
51,0.37950901095755396,0.13505197583677364,94.45,100.0
52,0.32447648435365406,0.12494161597744097,95.0,100.0
53,0.3434071242948994,0.1452021993660892,94.5,100.0
54,0.3789682169351727,0.12637185491566924,95.25,100.0
55,0.3563820479717106,0.1739845980159571,93.6,100.0
56,0.3968171584047377,0.13334962864057162,95.45,100.0
57,0.35964061495848,0.163301617981444,93.35,100.0
58,0.38884442021138965,0.12634673459929763,94.95,100.0
59,0.34523841737303884,0.15347985890469862,93.9,100.0
60,0.34645195966586473,0.10752257551375079,95.45,100.0
61,0.3365975675126538,0.10232743614935316,95.8,100.0
62,0.33871851982083173,0.09513869801993133,96.2,100.0
63,0.2996603703685105,0.09928479995342786,95.75,100.0
64,0.3076263195741922,0.09909736744959081,96.1,100.0
65,0.30121957558207213,0.09163580962485866,96.5,100.0
66,0.3052913180598989,0.09354496639825811,96.35,100.0
67,0.2884037693263963,0.09200305331713753,96.6,100.0
68,0.2937110010487959,0.09039345944911474,96.75,100.0
69,0.29539089787285777,0.09381044294562889,96.5,100.0
70,0.31878795571625235,0.09318807980744168,96.75,100.0
71,0.30563037174753843,0.09077049616858131,96.6,100.0
72,0.27842322044074536,0.09037467866332737,96.2,100.0
73,0.310264996457845,0.0841681314347661,96.6,100.0
74,0.3008899817429483,0.0841284506534721,96.75,100.0
75,0.2893983090901747,0.0817900239587907,96.8,100.0
76,0.2695939268311486,0.08197969741327688,96.6,100.0
77,0.28951069484115577,0.08221689069805142,96.6,100.0
78,0.28229935925453903,0.0837846054714173,97.05,100.0
79,0.3004147622222081,0.07791874299445771,97.1,100.0
80,0.2953084339387715,0.07899784958735108,97.0,100.0
81,0.27424972190172414,0.07977629049838288,97.0,100.0
82,0.27327920714393256,0.08277711741669191,97.2,100.0
83,0.2754719341499731,0.0821482762650121,97.0,100.0
84,0.3016965848603286,0.08066443564319342,96.95,100.0
85,0.2952139156963676,0.07732959215421943,97.15,100.0
86,0.30295833866577593,0.0773451912466553,97.25,100.0
87,0.2679912826931104,0.0780907267237635,97.2,100.0
88,0.27856204283423724,0.08214914345671423,97.3,100.0
89,0.2796935933548957,0.07917999408242031,97.4,100.0
90,0.27508101287297904,0.07739667528911377,97.15,100.0
91,0.2795751278300304,0.0735323125734576,96.95,100.0
92,0.28989993399241937,0.07716039225438726,97.15,100.0
93,0.3044993337057531,0.07776973361796263,97.2,100.0
94,0.2818956365389749,0.07143221480536158,96.9,100.0
95,0.27226510676089677,0.07144453451258596,97.15,100.0
96,0.26946630951482803,0.0756427333828542,97.05,100.0
97,0.24861024089157582,0.07560649762545654,96.9,100.0
98,0.26015899281250315,0.07365189551002914,96.95,100.0
99,0.27773258751723917,0.07938904244672448,96.9,100.0
100,0.2668914167908952,0.07215525602337948,97.45,100.0
101,0.24825476478785277,0.07536298129576607,97.4,100.0
102,0.2915833913680399,0.0751093351472955,97.3,100.0
103,0.2470045703998767,0.0721339601506188,97.25,100.0
104,0.28584836510010064,0.07260215057403548,97.55,100.0
105,0.258153971938882,0.07628889701327717,97.25,100.0
106,0.2612581339571625,0.07385909599094885,97.2,100.0
107,0.26132712804246694,0.07077742158194451,97.5,100.0
